|,|,|,|,|,|,|,|,|,|,*,|,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,*,*,*,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,*,*,*,*,*,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,*,*,*,*,*,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,*,*,|,*,*,|,|,|,|,|,|,|,|
|,|,|,*,|,|,|,*,*,*,|,*,*,*,|,|,|,*,|,|,|
|,|,|,*,*,*,|,*,*,|,*,|,*,*,|,*,*,*,|,|,|
|,|,*,*,*,*,|,*,*,|,*,|,*,*,|,*,*,*,*,|,|
|,|,|,|,*,*,*,|,*,|,*,|,*,|,*,*,*,|,|,|,|
|,|,|,|,*,*,*,*,*,|,*,|,*,*,*,*,*,|,|,|,|
|,|,|,|,*,*,*,*,|,*,*,*,|,*,*,*,*,|,|,|,|
|,|,|,|,*,*,*,*,|,*,*,*,|,*,*,*,*,|,|,|,|
|,|,|,|,|,*,*,|,*,*,*,*,*,|,*,*,|,|,|,|,|
|,|,|,|,|,*,*,|,*,*,*,*,*,|,*,*,|,|,|,|,|
|,|,|,|,|,*,*,*,|,*,*,*,|,*,*,*,|,|,|,|,|
|,|,|,|,|,*,*,*,*,*,|,*,*,*,*,*,|,|,|,|,|
|,|,|,|,|,,*,*,*,*,|,*,*,*,*,|,|,|,|,|,|
|,|,|,|,*,*,|,*,*,*,|,*,*,*,|,*,*,|,|,|,|
|,|,*,*,*,*,*,|,*,*,|,*,*,|,*,*,*,*,*,|,|
|,|,*,*,*,*,*,|,*,|,|,|,*,|,*,*,*,*,*,|,|
|,*,*,*,*,*,|,*,*,*,|,*,*,*,|,*,*,*,*,*,|
|,|,*,*,*,|,*,*,*,*,|,*,*,*,*,|,*,*,*,|,|
|,|,*,*,*,*,*,*,*,*,|,*,*,*,*,*,*,*,*,|,|
|,|,*,|,*,*,*,*,*,*,|,*,*,*,*,*,*,|,*,|,|
|,|,|,|,|,|,|,*,*,*,|,*,*,*,|,|,|,|,|,|,|
|,|,|,|,|,|,|,*,*,*,*,*,*,*,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,*,*,*,*,*,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,*,|,*,*,*,|,*,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,*,*,*,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,*,*,*,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,*,|,|,|,|,|,|,|,|,|,|
