|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|,|,|,*,*,|,|,|,|,|,|,*,*,|,|,|,|
|,|,|,*,*,*,*,|,|,|,|,*,*,*,*,|,|,|
|,|,*,*,*,*,*,*,|,|,*,*,*,*,*,*,|,|
|,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,|
|,|,*,*,*,*,*,*,*,*,*,*,*,*,*,*,|,|
|,|,|,*,*,*,*,*,*,*,*,*,*,*,*,|,|,|
|,|,|,|,*,*,*,*,*,*,*,*,*,*,|,|,|,|
|,|,|,|,|,*,*,*,*,*,*,*,*,|,|,|,|,|
|,|,|,|,|,|,*,*,*,*,*,*,|,|,|,|,|,|
|,|,|,|,|,|,|,*,*,*,*,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,*,*,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
